Task,Model,MRR
cord19,bm25,0.63011
hotpotqa,bm25,0.60629
hotpotqa,dpr,0.37323
hotpotqa,hierarchical-analyzed,0.44714
nq,bert,0.47304
nq,bm25,0.37041
nq,dpr,0.44187
nq,hierarchical-analyzed,0.43609
wikir,bert,0.2082
wikir,bm25,0.23542
wikir,dpr,0.13662
wikir,hierarchical-analyzed,0.14523
